杨思敏,#genre#
梁祝艷譚1,https://vip15.play-cdn15.com/20231013/25042_40f265aa/2000k/hls/index.m3u8
梁祝艷譚2,https://vip15.play-cdn15.com/20231013/25044_d47251e7/2000k/hls/index.m3u8
梁祝艷譚3,https://vip15.play-cdn15.com/20231013/25043_2ca78da5/2000k/hls/index.m3u8
梁祝艷譚4,https://vip15.play-cdn15.com/20231013/25045_250ef2a2/2000k/hls/index.m3u8
梁祝艷譚5,https://vip15.play-cdn15.com/20231013/25046_36e18321/2000k/hls/index.m3u8
淫賤四大才子1,https://vip15.play-cdn15.com/20230908/24530_0a3ebba7/2000k/hls/index.m3u8
淫賤四大才子3,https://vip15.play-cdn15.com/20230908/24533_a91f4d64/2000k/hls/index.m3u8
淫賤四大才子4,https://vip15.play-cdn15.com/20230908/24534_84a45a0d/2000k/hls/index.m3u8
淫賤四大才子6,https://vip15.play-cdn15.com/20230908/24531_80b5e9c9/2000k/hls/index.m3u8
淫賤四大才子7,https://vip15.play-cdn15.com/20230908/24535_34639574/2000k/hls/index.m3u8
淫賤四大才子8,https://vip15.play-cdn15.com/20230908/24536_3f9e8ad3/2000k/hls/index.m3u8
淫賤四大才子9,https://vip15.play-cdn15.com/20230908/24540_5b2721a5/2000k/hls/index.m3u8
淫賤四大才子10,https://vip15.play-cdn15.com/20230908/24538_45826e30/2000k/hls/index.m3u8
淫賤四大才子11,https://vip15.play-cdn15.com/20230908/24537_3aea0364/2000k/hls/index.m3u8
淫賤四大才子12,https://vip15.play-cdn15.com/20230908/24539_df3e377e/2000k/hls/index.m3u8
淫賤四大才子13,https://vip15.play-cdn15.com/20230908/24542_b5c9002b/2000k/hls/index.m3u8
淫賤四大才子14,https://vip15.play-cdn15.com/20230908/24541_46dc2f1e/2000k/hls/index.m3u8
淫賤四大才子15,https://vip15.play-cdn15.com/20230908/24543_e3fe28d4/2000k/hls/index.m3u8
淫賤四大才子16,https://vip15.play-cdn15.com/20230908/24544_00062ced/2000k/hls/index.m3u8
金瓶梅2024年,https://cdn.wlcdn99.com:777/20220526/WqXjXibO/2000kb/hls/index.m3u8
滿清十大酷刑之楊乃武與小白菜1987年,https://vv.jisuzyv.com/play/vbm8X9Oa/index.m3u8
天師斗妖姬2000年共40集
西遊記成人版1988年,https://v8.qrssv.com/202310/16/j53bvJZjeK1/video/2000k_1080/hls/index.m3u8
香港淪陷1994年,https://v8.qrssv.com/202310/16/PrNSHwa0561/video/2000k_1080/hls/index.m3u8
軍妓慰安婦1974年,https://cdn.wlcdn99.com:777/20220526/5evlk0cG/index.m3u8
換妻換上癮2003年,https://play.hhuus.com/play/mepBz5Nb/index.m3u8
四大名妓之李香君2005年,https://play.hhuus.com/play/mepnL1Xb/index.m3u8
金瓶梅2 2009年,https://vip1.lz-cdn1.com/20220516/5774_3b77c66d/1200k/hls/mixed.m3u8
世間女子多放蕩1995年,https://v8.fentvoss.com/sdv8/202310/12/czm7mrpTbq1/video/1000k_720/hls/index.m3u8
隱形淫魔之勇擒貴利雙柴2005年,https://vip15.play-cdn15.com/20231101/25433_ae79cee5/2000k/hls/index.m3u8
蜜桃成熟時1993年,https://vip.kuaikan-play2.com/20230402/WRDgv6gY/hls/index.m3u8
色戒2002年,https://cdn.wlcdn99.com:777/0pVYZOmj/index.m3u8
夜半思乳時1989年,https://vip.kuaikan-cdn4.com/20240627/pnlgXA9O/324kb/hls/index.m3u8
卿本佳人1991年,https://vip.kuaikan-play2.com/20230401/v5eojHeu/hls/index.m3u8
同班同學2015年1,https://cdn.wlcdn99.com:777/20220502/YuV7vNaG/index.m3u8
同班同學2015年2,https://vod.lyhuicheng.com/20231111/Er1gPDJL/hls/index.m3u8
豪情夜生活之四級攪攪震1997年,https://v8.fentvoss.com/sdv8/202310/10/UG3qci9LET1/video/1000k_720/hls/index.m3u8
新聞女郎之戀上快感2023年,https://vip.kuaikan-cdn4.com/20240627/w0cFqFVW/679kb/hls/index.m3u8
甩皮鬼1992年,https://v8.tlkqc.com/wjv8/202310/05/14LaSD9wFp1/video/1000k_720/hls/index.m3u8
一路向西（完整版）2013年,https://1080p.huyall.com/play/QbYvXMKd/index.m3u8
換妻檔案1993年,https://vip.ffzy-play8.com/20240229/2202_fd26835f/2000k/hls/mixed.m3u8
淫魔暴行1994年,https://yzzy.play-cdn14.com/20230807/31098_edf27fc4/2000k/hls/index.m3u8
齊天大性II大破盤絲洞2005年,https://vv.jisuzyv.com/play/ZdPGj54b/index.m3u8
蜜桃成熟時33D2011年,https://yzzy.play-cdn7.com/20220624/332_5e1a746e/1000k/hls/index.m3u8
獸性新人類2003年,https://vod.lyhuicheng.com/20231111/i8Xzxnsc/2616kb/hls/index.m3u8
裸體誘姦1990年,https://vip15.play-cdn15.com/20240104/26681_9b5a4920/2000k/hls/index.m3u8
玉蒲團之官人我要1998年,https://yzzy.play-cdn7.com/20220629/1302_eea2eb37/1000k/hls/index.m3u8
暫時停止做愛1987年,https://v8.tlkqc.com/wjv8/202309/14/TEubrjbbwH1/video/1000k_720/hls/index.m3u8
玉蒲團之偷情寶鑑1991年,https://play.hhuus.com/play/Yerpl0pb/index.m3u8
玉蒲團之偷情寶鑑4,https://v91.qrssv.com/202311/17/Ujw9P1g8N32/video/4000k_2160/hls/index.m3u8
三奸2012年,https://play.hhuus.com/play/QeZgwWQa/index.m3u8
滅門慘案2：借種1994年,https://v8.qrssv.com/202310/10/1VAUybhQ2a1/video/2000k_1080/hls/index.m3u8
淫慾女飛賊2005年,https://play.subokk.com/play/nel5Xv1a/index.m3u8
色鬼投胎1990年,https://yzzy.play-cdn14.com/20230712/29233_659ed0c2/2000k/hls/index.m3u8
玉蒲團Ⅱ之玉女心經1996年,https://yzzy.play-cdn7.com/20220624/430_db075b80/1000k/hls/index.m3u8
金瓶梅禁傳2004年,https://1080p.huyall.com/play/zbqjo97d/index.m3u8
借種32010年,https://ukzyll.ukubf6.com/20220717/2GCRPafn/2000kb/hls/index.m3u8?skipl=1
我為卿狂1991年,https://play.hhuus.com/play/5eVWr7Ba/index.m3u8
男與女（鍾楚紅版）1983年,https://play.hhuus.com/play/1aKz9mMe/index.m3u8
金瓶梅2008年,https://v8.qrssv.com/202310/09/6FnT1gEfrp1/video/2000k_1080/hls/index.m3u8
色獄女囚1990年,https://vip.ffzy-play8.com/20230325/1453_85761411/2000k/hls/mixed.m3u8
蜜桃成熟時1997年,https://vip1.lz-cdn1.com/20220328/616_97653182/1200k/hls/mixed.m3u8
2
香港奇案5：奸魔1997年,https://play.hhuus.com/play/RdGA7lya/index.m3u8
酋長的女兒1984年,https://v8.qrssv.com/202310/10/Xzr5H4Cew71/video/2000k_1080/hls/index.m3u8
酋長的女兒1984年,https://yzzy.play-cdn14.com/20230626/27404_cba1b29f/index.m3u8
真奶洍功夫2013年,https://v8.qrssv.com/202310/06/iD5hdypCTH1/video/2000k_1080/hls/index.m3u8
新金瓶梅22008年,https://ukzyll.ukubf6.com/20220705/0asTz2rl/2000kb/hls/index.m3u8
極度強姦1998年,https://yzzy.play-cdn14.com/20230711/29152_bc1efe2c/2000k/hls/index.m3u8
獸性新人類2003年1,https://yzzy.play-cdn9.com/20220927/20_5a5a0b21/1000k/hls/index.m3u8
獸性新人類2003年2,https://vod.lyhuicheng.com/20231111/CSqUBMyD/index.m3u8
鴨王2015年,https://yzzy.play-cdn6.com/20220622/224_5c359e5d/1000k/hls/index.m3u8
滅門慘案之孽殺1993年,https://vip15.play-cdn15.com/20230822/24186_583600ea/2000k/hls/index.m3u8
擋不住的瘋情1993年,https://vip.kuaikan-play2.com/20230402/7tq94YZS/hls/index.m3u8
血戀1995年,https://v2.yzzy5-play.com/20220426/8099_6d0a99ad/1000k/hls/index.m3u8
新官人我要1976年,https://cdn.wlcdn99.com:777/20220506/qGW0mJMO/index.m3u8
玉蒲團3官人我要1998年,https://vip.kuaikan-play2.com/20230402/NeLpWUoD/hls/index.m3u8
慈禧秘密生活2023年,https://vip.kuaikan-play1.com/20230308/6eytynui/4578kb/hls/index.m3u8
強姦陷阱1998年,https://ll.bdzybf11.com/20220301/SVCCVXUC/2000kb/hls/index.m3u8
3D豪情2014年,https://cdn.wlcdn99.com:777/20220526/dhTfWSuA/2000kb/hls/index.m3u8
強姦2制服誘惑1998年,https://vip15.play-cdn15.com/20230823/24217_74883232/2000k/hls/index.m3u8
香港奇案之強姦1976年,https://cdn.wlcdn99.com:777/V0ZAXs8n/index.m3u8
那個少女不多情之脫的疑惑1993年,https://vip15.play-cdn15.com/20230819/24073_66875865/2000k/hls/index.m3u8
色慾城市之赤裸姐妹2004年,https://v8.qrssv.com/202310/12/CLH9QDBSpN1/video/2000k_1080/hls/index.m3u8
古本素女真經1985年,https://v8.qrssv.com/202310/09/1Zr4PzFAEa1/video/2000k_1080/hls/index.m3u8
超淫特工隊2006年,https://vip15.play-cdn15.com/20231202/26065_c7ab55ab/2000k/hls/index.m3u8
青春年華齊叫春1988年,https://yzzy.play-cdn14.com/20230714/29473_25b9ce21/2000k/hls/index.m3u8
聊齋花弄月迷情禪宗2023年,https://bfikuncdn.com/20240424/WoTQlzWq/2000kb/hls/index.m3u8
3D肉蒲團之極樂寶鑑2011年,https://play.modujx15.com/20240819/ToKjH3az/2000kb/hls/index.m3u8
西施19931993年,https://v8.qrssv.com/202310/16/c8r6e0Y14A1/video/2000k_1080/hls/index.m3u8
卿本佳人1991年,https://v8.qrssv.com/202310/10/viehz4Nc281/video/2000k_1080/hls/index.m3u8
喜愛夜蒲32023年,https://yzzy.play-cdn6.com/20220623/728_8691f46e/1000k/hls/index.m3u8
妖女十八招1993年,https://ll.bdzybf11.com/20220216/0i3c6hhn/2000kb/hls/index.m3u8
赤裸天使1995年,https://cdn.wlcdn99.com:777/20220415/JPgePYZ4/index.m3u8
三級薔薇之戀1991年,https://vip.ffzy-play8.com/20221219/969_0073d32e/2000k/hls/mixed.m3u8
現代情慾篇之換妻檔案1993年,https://v8.qrssv.com/202310/16/4j17Meq1LR1/video/2000k_1080/hls/index.m3u8
滿清十大酷刑1994年,https://vip.ffzy-play8.com/20230421/1535_5a530b5f/2000k/hls/mixed.m3u8
新應召女郎1993年,https://vod.lyhuicheng.com/20231120/SfDlvibi/1085kb/hls/index.m3u8
瘋狂一夜情1995年,https://play.hhuus.com/play/pen77pEa/index.m3u8
獻身1984年,https://vod.lyhuicheng.com/20231114/LQNoFPkE/hls/index.m3u8
慾火狂蜜1997年,https://yzzy.play-cdn7.com/20220629/1303_476b8d48/1000k/hls/index.m3u8
豐妖乳娘1992年,https://vip.ffzy-online1.com/20240904/54894_0eab014d/2000k/hls/mixed.m3u8
一代女皇艷史武則天1995年,https://ll.bdzybf11.com/20220216/zXS29VI8/2000kb/hls/index.m3u8
還珠格格成人版2000年,https://v8.fentvoss.com/sdv8/202310/09/YEX6gDGtF31/video/1000k_720/hls/index.m3u8
人妻射精日記2020年,https://vip.kuaikan-cdn4.com/20240627/GKPmfip1/6296kb/hls/index.m3u8
禁宮八大酷刑之極樂酷刑1,https://cdn.wlcdn99.com:777/20220526/TFmprrxQ/2000kb/hls/index.m3u8
禁宮八大酷刑之極樂酷刑2,https://vip.kuaikan-cdn4.com/20240627/2wQpl2YW/240kb/hls/index.m3u8
濃情女人香1992年,https://v8.qrssv.com/202310/10/danFYc9uKN1/video/2000k_1080/hls/index.m3u8
貼身保鏢1992年1,https://v8.qrssv.com/202310/12/Nz3wJn5krm1/video/2000k_1080/hls/index.m3u8
滿清十大酷刑2之赤裸凌遲1998年,https://ukzyll.ukubf6.com/20220527/2DiUWANy/2000kb/hls/index.m3u8
警花肉搏強姦黨1993年,https://cdn.wlcdn99.com:777/20220526/ewgdLbXW/index.m3u8

3
豐妖乳娘1992年,https://vip.ffzy-online1.com/20240904/54894_0eab014d/2000k/hls/mixed.m3u8
情女人香1992年,https://vip15.play-cdn15.com/20240108/26766_ef6fd76d/2000k/hls/index.m3u8
情不自禁之想入非非1993年,https://yzzy.play-cdn7.com/20220811/10898_81e1d33f/1000k/hls/index.m3u8
蜜桃成熟時之三人同眠2005年,https://vip15.play-cdn15.com/20240101/26621_93df6da3/2000k/hls/index.m3u8
赤裸羔羊2006年,https://cdn.wlcdn99.com:777/20220526/S3oIfjpr/index.m3u8
中港強暴狂奔1995年,https://yzzy.play-cdn14.com/20230713/29322_75d54f6b/2000k/hls/index.m3u8
偷窺無罪之絕色網吧2004年,https://v8.qrssv.com/202310/12/c6BrwYj1Gg1/video/2000k_1080/hls/index.m3u8
一路向西2012年,https://cdn.wlcdn99.com:777/DArMoPQ0/index.m3u8
情不自禁19911991年,https://v8.qrssv.com/202310/10/XGUvNwHSaS1/video/2000k_1080/hls/index.m3u8
強姦5：廣告誘惑1999年,https://v8.qrssv.com/202310/10/phEfhAXdeC1/video/2000k_1080/hls/index.m3u8
香港奇案之吸血貴利王1994年,https://yzzy.play-cdn14.com/20230709/28851_12faa511/2000k/hls/index.m3u8
聊齋金瓶梅DVD1991年,https://v8.qrssv.com/202310/10/2cyNUT2Nps1/video/2000k_1080/hls/index.m3u8
終極強姦獸性誘惑2001年,https://ll.bdzybf11.com/20220223/AgxFhDwI/2000kb/hls/index.m3u8
制服的挑逗2003年,https://v8.qrssv.com/202309/14/vtjB3j7RW41/video/2000k_1080/hls/index.m3u8
淫狼心1994年,https://play.modujx15.com/20240826/s7xspBOi/2000kb/hls/index.m3u8
淫狼心1994年,https://yzzy.play-cdn14.com/20230719/29967_7edb997b/2000k/hls/index.m3u8
喜愛夜蒲2023年,https://yzzy.play-cdn6.com/20220623/732_648deef2/1000k/hls/index.m3u8
趕屍艷談1991年,https://cdn.wlcdn99.com:777/20220526/nTEsu2wn/index.m3u8
奸魔1992年,https://vip15.play-cdn15.com/20240203/27121_8dfc610a/2000k/hls/index.m3u8
香港豪放女學生1991年,https://hd.ijycnd.com/play/QbY6DM0d/index.m3u8
燈草和尚之素女經2023年,https://yzzy.play-cdn8.com/20220725/10441_09d2bd57/1000k/hls/index.m3u8
偷情寶鑑：唐伯虎2002年,https://hd.ijycnd.com/play/xe7L1rOa/index.m3u8
玉蒲團之玉女心經1996年,https://hd.ijycnd.com/play/PdRok6Le/index.m3u8
孽戀1995年,https://hd.ijycnd.com/play/neg3njew/index.m3u8
打蛇1980年,https://cdn.wlcdn99.com:777/20220526/8BHjgw78/index.m3u8
飛鳳春宵1993年,https://cdn.wlcdn99.com:777/20220526/bFeFwtIZ/2000kb/hls/index.m3u8
聊齋志異之孽欲孤鬼2002年,https://v8.qrssv.com/202310/05/fGigfB1iJf1/video/2000k_1080/hls/index.m3u8
青樓十二房1994年,https://yzzy.play-cdn7.com/20220701/2057_5582dfdc/1000k/hls/index.m3u8
香醇的誘惑1998年,https://play.hhuus.com/play/lej5nzzd/index.m3u8
三度誘惑1990年,https://play.hhuus.com/play/9b6GWBRd/index.m3u8
絕種賤男之愛在三級的日子2003年,https://cdn.wlcdn99.com:777/20220526/vm8wI3af/2000kb/hls/index.m3u8
足本玉蒲團1987年,https://yzzy.play-cdn9.com/20221004/2174_8de33069/1000k/hls/index.m3u8
赤裸迷情1992年,https://vip15.play-cdn15.com/20230821/24155_45d72809/2000k/hls/index.m3u8
追你一世1998年,https://v8.qrssv.com/202310/06/tzcbSAUtb51/video/2000k_1080/hls/index.m3u8
淫獸1978年1,https://ll.bdzybf11.com/20220217/DOqW2NJ8/2000kb/hls/index.m3u8
淫獸1978年2,https://ll.bdzybf11.com/20220217/wgNN3Tid/2000kb/hls/index.m3u8
女獄秘聞1999年,https://v8.qrssv.com/202310/10/1bPNmwy2P01/video/2000k_1080/hls/index.m3u8
血戀1995年,https://v2.yzzy5-play.com/20220425/8074_64973dc0/1000k/hls/index.m3u8
淫種1984年1,https://v.cdnlz17.com/20231014/29626_13a79255/2000k/hls/mixed.m3u8
淫種1984年2,https://v.cdnlz17.com/20231014/29625_2f749aac/2000k/hls/mixed.m3u8
淫蛇2001年,https://ll.bdzybf11.com/20220304/SF004eET/2000kb/hls/index.m3u8
香港姦殺奇案1993年,https://vip15.play-cdn15.com/20231230/26583_85fcc20e/2000k/hls/index.m3u8
玉蒲團之陽物性教1999年,https://hd.ijycnd.com/play/Rb4OYn1a/index.m3u8
界刀淫魔1999年,https://hd.ijycnd.com/play/vbmwkn3e/index.m3u8
七公主2021年,https://vip.kuaikan-cdn4.com/20240627/FyBxMtxn/3186kb/hls/index.m3u8
皇帝也風流（成人版）1996年,https://play.hhuus.com/play/qaQjOELb/index.m3u8
蜜桃成熟時1999年,https://ll.bdzybf11.com/20220216/M1GT5olq/2000kb/hls/index.m3u8
黑幫花剌1996年,https://vv.jisuzyv.com/play/7axB18ld/index.m3u8
午夜情深深1992年,https://vip15.play-cdn15.com/20230914/24675_1072aa96/2000k/hls/index.m3u8
😂三級七日情1992年,https://yzzy.play-cdn14.com/20230808/31141_86399da7/2000k/hls/index.m3u8
素女經之挑情寶鑑1992年,https://v8.qrssv.com/202310/12/V8aE5uueTg1/video/2000k_1080/hls/index.m3u8
4
中國性戲大觀1997年,https://hd.ijycnd.com/play/QdJqWKyb/index.m3u8
聊齋金瓶梅1991年,https://ll.bdzybf11.com/20220223/YzFYKS6h/2000kb/hls/index.m3u8
強姦5:廣告誘惑,https://yzzy.play-cdn8.com/20220705/1309_014c6e5d/1000k/hls/index.m3u8
大宋艷情史之深宮情難禁1998年,https://ll.bdzybf11.com/20220305/I2yFy5fJ/2000kb/hls/index.m3u8
聊齋艷譚1991修復版1990年,https://v8.qrssv.com/202310/10/MvZnKvLPh51/video/2000k_1080/hls/index.m3u8
金瓶梅之鴛鴦戲床2000年,https://hd.ijycnd.com/play/7axGymle/index.m3u8
醬爆泡沫天國2005年,https://hd.ijycnd.com/play/zbqjEN2d/index.m3u8
屍蠱艷譚2023年,https://yzzy.play-cdn8.com/20220705/1312_6a914171/1000k/hls/index.m3u8
上海性戰之回到未來2000年,https://vip15.play-cdn15.com/20231229/26563_d11d71fd/2000k/hls/index.m3u8
玉蒲團現代版1987年,https://v8.qrssv.com/202310/06/caEBV7E6Ni1/video/2000k_1080/hls/index.m3u8
三分之一情人1993年,https://yzzy.play-cdn14.com/20230722/30211_ddca47ea/2000k/hls/index.m3u8
滅門慘案之借種2017年, 
金瓶梅2：愛的奴隸2009年,https://v8.qrssv.com/202310/09/wzBF1YeyzC1/video/2000k_1080/hls/index.m3u8
愛的精靈1993年,https://cdn.wlcdn99.com:777/20220526/DSvFcV6K/2000kb/hls/index.m3u8
滿清十大酷刑之赤裸凌遲1987年,https://vod.lyhuicheng.com/20231115/6xU9ExqI/hls/index.m3u8
人肉臘腸1993年,https://vip.kuaikan-play2.com/20230401/Rz9uTWbq/hls/index.m3u8
奸魔1992年,https://v8.qrssv.com/202310/09/4V2eUAPLxu1/video/2000k_1080/hls/index.m3u8
新傾國傾城2005年,https://hd.ijycnd.com/play/vbmQEREb/index.m3u8
強姦2之制服誘惑1994年,https://vip.kuaikan-cdn4.com/20240627/uNUgOEwz/1120kb/hls/index.m3u8
新紅樓夢8痴情色男2005年,https://ll.bdzybf11.com/20220220/gfzlrwfv/2000kb/hls/index.m3u8
紅唇滾滾1993年,https://vip.ffzy-play8.com/20240312/2300_69a49edc/2000k/hls/mixed.m3u8
官人我要1998年,https://hd.ijycnd.com/play/vbmw0ppe/index.m3u8
巨乳的疑惑1993年,https://hd.ijycnd.com/play/6dBgvmYe/index.m3u8
性暴力檔案之三奸2000年,https://vip15.play-cdn15.com/20240102/26653_66f51c6c/2000k/hls/index.m3u8
性暴力檔案之三奸,https://vod.lyhuicheng.com/20231121/ITigCevM/index.m3u8
色慾怪談之魔姦淫者2000年,https://hd.ijycnd.com/play/neg51GZb/index.m3u8
絕色網吧2003年,https://vip.ffzy-online1.com/20240830/54782_5e344078/2000k/hls/mixed.m3u8
2008新金瓶梅2008年,https://ll.bdzybf11.com/20220217/5zGhgGiQ/
