⛄丨IPv4央视（福建广东）,#genre#
辽宁卫视,http://120.41.124.228:8888/rtp/239.61.2.181:9074
重庆卫视,http://120.41.124.228:8888/rtp/239.61.2.250:9488
北京卫视,http://120.41.124.228:8888/rtp/239.61.2.32:8186
云南卫视,http://120.41.124.228:8888/rtp/239.61.2.61:8360
河南卫视,http://120.41.124.228:8888/rtp/239.61.2.59:8348
海南卫视,http://120.41.124.228:8888/rtp/239.61.2.42:8246
广西卫视,http://120.41.124.228:8888/rtp/239.61.2.48:8282
陕西卫视,http://120.41.124.228:8888/rtp/239.61.2.38:8222
青海卫视,http://120.41.124.228:8888/rtp/239.61.2.60:8354
宁夏卫视,http://120.41.124.228:8888/rtp/239.61.2.56:8330
吉林卫视,http://120.41.124.228:8888/rtp/239.61.2.223:9326
山西卫视,http://120.41.124.228:8888/rtp/239.61.2.224:9332
甘肃卫视,http://120.41.124.228:8888/rtp/239.61.2.225:9338
内蒙古卫视,http://120.41.124.228:8888/rtp/239.61.2.226:9344
新疆卫视,http://120.41.124.228:8888/rtp/239.61.2.227:9350
兵团卫视,http://120.41.124.228:8888/rtp/239.61.2.228:9356
西藏卫视,http://120.41.124.228:8888/rtp/239.61.2.229:9362
大湾区卫视,http://120.41.124.228:8888/rtp/239.61.3.5:9548
三沙卫视,http://120.41.124.228:8888/rtp/239.61.3.10:9578
广东卫视,http://113.109.250.98:9999/udp/239.77.0.2:5146
广东卫视,http://113.109.250.98:9999/udp/239.77.1.2:5146
大湾区卫视,http://113.109.250.98:9999/udp/239.77.0.9:5146
大湾区卫视,http://113.109.250.98:9999/udp/239.77.1.12:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.1.3:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.1.148:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.0.92:5146
深圳卫视,http://113.109.250.98:9999/udp/239.77.0.130:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.0.46:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.1.29:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.1.5:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.1.129:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.0.88:5146
湖南卫视,http://113.109.250.98:9999/udp/239.77.0.127:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.0.47:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.1.32:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.1.33:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.1.150:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.0.89:5146
浙江卫视,http://113.109.250.98:9999/udp/239.77.0.125:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.0.48:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.1.40:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.1.18:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.1.149:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.0.90:5146
江苏卫视,http://113.109.250.98:9999/udp/239.77.0.126:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.0.49:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.1.48:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.1.218:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.1.156:5146
东方卫视,http://113.109.250.98:9999/udp/239.77.0.98:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.0.50:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.1.13:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.1.92:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.1.157:5146
安徽卫视,http://113.109.250.98:9999/udp/239.77.0.183:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.0.51:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.1.14:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.1.4:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.1.151:5146
北京卫视,http://113.109.250.98:9999/udp/239.77.0.91:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.0.52:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.1.37:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.1.141:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.1.182:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.0.97:5146
天津卫视,http://113.109.250.98:9999/udp/239.77.0.131:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.0.53:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.1.66:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.1.142:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.1.153:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.0.94:5146
山东卫视,http://113.109.250.98:9999/udp/239.77.0.132:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.0.54:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.1.73:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.1.219:5146
江西卫视,http://113.109.250.98:9999/udp/239.77.0.149:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.0.56:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.1.44:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.1.93:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.1.174:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.0.95:5146
湖北卫视,http://113.109.250.98:9999/udp/239.77.0.128:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.0.57:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.1.62:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.1.103:5146
辽宁卫视 ,http://113.109.250.98:9999/udp/239.77.0.123:5146
辽宁卫视,http://113.109.250.98:9999/udp/239.77.0.161:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.0.58:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.1.71:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.1.6:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.1.179:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.0.93:5146
黑龙江卫视,http://113.109.250.98:9999/udp/239.77.0.124:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.0.59:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.1.61:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.1.221:5146
贵州卫视,http://113.109.250.98:9999/udp/239.77.0.230:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.0.60:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.1.30:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.1.215:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.0.159:5146
四川卫视,http://113.109.250.98:9999/udp/239.77.0.163:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.0.61:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.1.58:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.1.229:5146
河南卫视,http://113.109.250.98:9999/udp/239.77.0.17:5146
云南卫视,http://113.109.250.98:9999/udp/239.77.0.62:5146
云南卫视,http://113.109.250.98:9999/udp/239.77.1.72:5146
云南卫视,http://113.109.250.98:9999/udp/239.253.43.37:5146
云南卫视,http://113.109.250.98:9999/udp/239.253.43.100:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.0.63:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.1.16:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.1.162:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.1.210:5146
重庆卫视,http://113.109.250.98:9999/udp/239.77.0.182:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.0.64:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.1.60:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.1.214:5146
河北卫视,http://113.109.250.98:9999/udp/239.77.0.148:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.0.65:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.1.1:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.1.213:5146
东南卫视,http://113.109.250.98:9999/udp/239.77.1.104:5146
福建综合,http://120.41.124.228:8888/rtp/239.61.3.4:9542
福建公共频道,http://120.41.124.228:8888/rtp/239.61.2.3:8012
福建新闻,http://120.41.124.228:8888/rtp/239.61.2.4:8018
福建电视剧,http://120.41.124.228:8888/rtp/239.61.2.5:8024
福建旅游,http://120.41.124.228:8888/rtp/239.61.2.6:8030
福建经济生活,http://120.41.124.228:8888/rtp/239.61.2.7:8036
福建体育,http://120.41.124.228:8888/rtp/239.61.2.160:8948
福建少儿,http://120.41.124.228:8888/rtp/239.61.2.9:8048
福建教育频道,http://120.41.124.228:8888/rtp/239.61.2.173:9026
厦门卫视,http://120.41.124.228:8888/rtp/239.61.2.11:8060
厦门1套,http://120.41.124.228:8888/rtp/239.61.3.55:9848
厦门2套,http://120.41.124.228:8888/rtp/239.61.3.56:9854
快乐购物,http://120.41.124.228:8888/rtp/239.61.2.169:9002
央广购物,http://120.41.124.228:8888/rtp/239.61.2.220:9308
中国教育1,http://120.41.124.228:8888/rtp/239.61.2.167:8990
纪实人文,http://120.41.124.228:8888/rtp/239.61.2.165:8978
中国教育2,http://120.41.124.228:8888/rtp/239.61.3.6:9554
中国气像,http://120.41.124.228:8888/rtp/239.61.2.64:8378
金鹰卡通,http://120.41.124.228:8888/rtp/239.61.2.221:9314
卡酷少儿,http://120.41.124.228:8888/rtp/239.61.2.222:9320
金鹰纪实,http://120.41.124.228:8888/rtp/239.61.3.7:9560
中国教育4,http://120.41.124.228:8888/rtp/239.61.3.15:9608
欢笑剧场,http://120.41.124.228:8888/rtp/239.61.2.146:8864
都市剧场,http://120.41.124.228:8888/rtp/239.61.2.149:8882
哈哈炫动,http://120.41.124.228:8888/rtp/239.61.2.70:8414
动漫秀场,http://120.41.124.228:8888/rtp/239.61.2.148:8876
嘉佳卡通,http://120.41.124.228:8888/rtp/239.61.2.72:8426
游戏风云,http://120.41.124.228:8888/rtp/239.61.2.145:8858
乐游,http://120.41.124.228:8888/rtp/239.61.2.147:8870
法治天地,http://120.41.124.228:8888/rtp/239.61.2.75:8444
东方财经,http://120.41.124.228:8888/rtp/239.61.2.76:8450
金色学堂,http://120.41.124.228:8888/rtp/239.61.2.78:8462
快乐垂钓,http://120.41.124.228:8888/rtp/239.61.3.8:9566
生活时尚,http://120.41.124.228:8888/rtp/239.61.2.141:8834
中华特产,http://120.41.124.228:8888/rtp/239.61.3.72:9950
车迷频道,http://120.41.124.228:8888/rtp/239.61.3.64:9902
优优宝贝,http://120.41.124.228:8888/rtp/239.61.3.70:9938
环球旅游,http://120.41.124.228:8888/rtp/239.61.3.66:9914
生态环境,http://120.41.124.228:8888/rtp/239.61.3.68:9926
百姓健康,http://120.41.124.228:8888/rtp/239.61.3.62:9890
四海钓鱼,http://120.41.124.228:8888/rtp/239.61.3.69:9932
家庭理财,http://120.41.124.228:8888/rtp/239.61.3.67:9920
财富天下,http://120.41.124.228:8888/rtp/239.61.3.63:9896
证券服务,http://120.41.124.228:8888/rtp/239.61.3.71:9944
先锋乒羽,http://120.41.124.228:8888/rtp/239.61.3.17:9622
茶频道,http://120.41.124.228:8888/rtp/239.61.3.59:9872
CHC动作电影,http://120.41.124.228:8888/rtp/239.61.3.16:9616
梨园频道,http://120.41.124.228:8888/rtp/239.61.3.19:9634
文物宝库,http://120.41.124.228:8888/rtp/239.61.3.21:9646
武术世界,http://120.41.124.228:8888/rtp/239.61.3.22:9652
新动漫,http://120.41.124.228:8888/rtp/239.61.3.18:9628
中学生,http://120.41.124.228:8888/rtp/239.61.3.73:9956
发现之旅,http://120.41.124.228:8888/rtp/239.61.3.74:9962
⛄丨IPv6央视,#genre#
CCTV-1 综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2 财经,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3 综艺,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6 电影,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-4K 超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K 超高清,https://tv.cry33.com/ys4k.php?id=8k
⛄丨IPv6地方卫视,#genre#
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://113.64.145.91:8081/hls/38/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
山西卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000318/index.m3u8?IAS
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
辽宁卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
黑龙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
内蒙古卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000319/index.m3u8?IAS
宁夏卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000309/index.m3u8?IAS
陕西卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000313/index.m3u8?IAS
甘肃卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
吉林卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
云南卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000305/index.m3u8?IAS
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
新疆卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000317/index.m3u8?IAS
兵团卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
大湾区卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
厦门卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?IAS
康巴卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
CETV-1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-3,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CETV-4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
五星体育,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?IAS
CGTN英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN记录,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000528/index.m3u8?IAS
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
