
央卫秒播,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv?3u8y=txiptv

中央视频,#genre#

CCTV1,http://vip.lqcc.xyz:35455/mgtv/608807420.m3u8
CCTV2,http://vip.lqcc.xyz:35455/mgtv/631780532.m3u8
CCTV3,http://vip.lqcc.xyz:35455/mgtv/624878271.m3u8
CCTV4,http://vip.lqcc.xyz:35455/mgtv/631780421.m3u8
CCTV5,http://vip.lqcc.xyz:35455/mgtv/641886683.m3u8
CCTV5+,http://vip.lqcc.xyz:35455/mgtv/641886773.m3u8
CCTV6,http://vip.lqcc.xyz:35455/mgtv/624878396.m3u8
CCTV7,http://vip.lqcc.xyz:35455/mgtv/673168121.m3u8
CCTV8,http://vip.lqcc.xyz:35455/mgtv/624878356.m3u8
CCTV9.http://vip.lqcc.xyz:35455/mgtv/673168140.m3u8
CCTV10,http://vip.lqcc.xyz:35455/mgtv/624878405.m3u8
CCTV11,http://vip.lqcc.xyz:35455/mgtv/667987558.m3u8
CCTV12,http://vip.lqcc.xyz:35455/mgtv/673168185.m3u8
CCTV13,http://vip.lqcc.xyz:35455/mgtv/608807423.m3u8
CCTV14,http://vip.lqcc.xyz:35455/mgtv/624878440.m3u8
CCTV15,http://vip.lqcc.xyz:35455/mgtv/673168223.m3u8
CCTV16,http://vip.lqcc.xyz:35455/nptv/cctv16.m3u8
CCTV17,http://vip.lqcc.xyz:35455/mgtv/673168256.m3u8
CETV1,http://vip.lqcc.xyz:35455/mgtv/923287154.m3u8
CETV2,http://vip.lqcc.xyz:35455/mgtv/923287211.m3u8
CETV4,http://vip.lqcc.xyz:35455/mgtv/923287339.m3u8

卫视频道,#genre#

东方卫视,http://vip.lqcc.xyz:35455/mgtv/651632648.m3u8
江苏卫视,http://vip.lqcc.xyz:35455/mgtv/623899368.m3u8
江西卫视,http://vip.lqcc.xyz:35455/mgtv/783847495.m3u8
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视
河南卫视,http://vip.lqcc.xyz:35455/mgtv/790187291.m3u8
陕西卫视,http://vip.lqcc.xyz:35455/mgtv/738910838.m3u8
大湾区卫视,http://vip.lqcc.xyz:35455/mgtv/608917627.m3u8
湖北卫视,http://vip.lqcc.xyz:35455/mgtv/947472496.m3u8
吉林卫视,http://vip.lqcc.xyz:35455/mgtv/947472500.m3u8
青海卫视,http://vip.lqcc.xyz:35455/mgtv/947472506.m3u8
海南卫视,http://vip.lqcc.xyz:35455/mgtv/947472502.m3u8
北京卫视,http://vip.lqcc.xyz:35455/nptv/beijing.m3u8
湖南卫视,http://vip.lqcc.xyz:35455/nptv/hunan.m3u8
浙江卫视,http://vip.lqcc.xyz:35455/nptv/zhejiang.m3u8
湖北卫视,http://vip.lqcc.xyz:35455/nptv/hubei.m3u8
天津卫视,http://vip.lqcc.xyz:35455/nptv/tianjing.m3u8
山东卫视,http://vip.lqcc.xyz:35455/nptv/shandong.m3u8
辽宁卫视,http://vip.lqcc.xyz:35455/nptv/liaoning.m3u8
安徽卫视,http://vip.lqcc.xyz:35455/nptv/anhui.m3u8
黑龙江卫视,http://vip.lqcc.xyz:35455/nptv/heilongjiang.m3u8
贵州卫视,http://vip.lqcc.xyz:35455/nptv/guizhou.m3u8
东南卫视,http://vip.lqcc.xyz:35455/nptv/dongnan.m3u8
重庆卫视,http://vip.lqcc.xyz:35455/nptv/chongqing.m3u8
河北卫视,http://vip.lqcc.xyz:35455/nptv/hebei.m3u8
深圳卫视,http://vip.lqcc.xyz:35455/nptv/shenzheng.m3u8
四川卫视,http://vip.lqcc.xyz:35455/nptv/sichuan.m3u8
广西卫视,http://vip.lqcc.xyz:35455/nptv/guangxi.m3u8
山西卫视,http://vip.lqcc.xyz:35455/nptv/shanxi.m3u8
内蒙古卫视,http://vip.lqcc.xyz:35455/nptv/neimenggu.m3u8
青海卫视,http://vip.lqcc.xyz:35455/nptv/qinghai.m3u8
宁夏卫视,http://vip.lqcc.xyz:35455/nptv/ningxia.m3u8
西藏卫视,http://vip.lqcc.xyz:35455/nptv/xizang.m3u8
新疆卫视,http://vip.lqcc.xyz:35455/nptv/xinjiang.m3u8
甘肃卫视,http://vip.lqcc.xyz:35455/nptv/gansu.m3u8
云南卫视,http://vip.lqcc.xyz:35455/nptv/yunnan.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
老故事,http://vip.lqcc.xyz:35455/mgtv/884121956.m3u8
发现之旅,http://vip.lqcc.xyz:35455/mgtv/624878970.m3u8
中学生,http://vip.lqcc.xyz:35455/mgtv/708869532.m3u8
CGTN,http://vip.lqcc.xyz:35455/mgtv/609017205.m3u8
CGTN记录,http://vip.lqcc.xyz:35455/mgtv/609006487.m3u8
CGTN阿语,http://vip.lqcc.xyz:35455/mgtv/609154345.m3u8
CGTN西语,http://vip.lqcc.xyz:35455/mgtv/609006450.m3u8
CGTN法语,http://vip.lqcc.xyz:35455/mgtv/609006476.m3u8
CGTN俄语,http://vip.lqcc.xyz:35455/mgtv/609006446.m3u8
CGTN阿语,http://vip.lqcc.xyz:35455/nptv/cgtnar.m3u8
CGTN纪录,http://vip.lqcc.xyz:35455/nptv/cgtndoc.m3u8

电影频道,#genre#
CCTV6电影,http://182.32.159.109:85/tsfile/live/0006_1.m3u8?key=txiptv
CHC影迷电影,http://vip.lqcc.xyz:35455/mgtv/952383261.m3u8
CHC动作电影,http://vip.lqcc.xyz:35455/mgtv/644368714.m3u8
CHC家庭影院,http://vip.lqcc.xyz:35455/mgtv/644368373.m3u8
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8

南方影视,http://vip.lqcc.xyz:35455/mgtv/614961829.m3u8
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv?txiptv
金庸电影,http://103.193.151.146/huya.php?id=11352897
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
经典电影,http://lxajh.top/tv/douyu.php?id=74374

经典好片,http://103.193.151.146/huya.php?id=11342427
经典好剧,http://103.193.151.146/huya.php?id=11602085
经典喜剧,http://103.193.151.146/huya.php?id=11352894
港剧经典,http://103.193.151.146/huya.php?id=11352965

千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
深度对话,http://vip.lqcc.xyz:35455/mgtv/625703337.m3u8


华语经典,http://1.94.31.214:35450/douyu/434971
大片,http://vip.lqcc.xyz:35455/mgtv/629943678.m3u8
爱电影,http://220.175.132.21:8008/rtp/239.252.220.142:5140

红色轮播台,http://vip.lqcc.xyz:35455/mgtv/713600957.m3u8

金庸经典剧,http://103.193.151.146/huya.php?id=11602082

新片放映厅,http://vip.lqcc.xyz:35455/mgtv/619495952.m3u8

优漫卡通频道,http://vip.lqcc.xyz:35455/mgtv/626064703.m3u8
电影经典港片,http://1.94.31.214:35450/huya/11352965?cdn=txcdn

和美乡途轮播台,http://vip.lqcc.xyz:35455/mgtv/713591450.m3u8

中国航天“逆袭”之路,http://vip.lqcc.xyz:35455/mgtv/617432318.m3u8


地方综合,#genre#
上海新闻综合,http://vip.lqcc.xyz:35455/mgtv/651632657.m3u8
上视东方影视,http://vip.lqcc.xyz:35455/mgtv/617290047.m3u8
上海第一财经,http://vip.lqcc.xyz:35455/mgtv/608780988.m3u8
南京新闻综合频道,http://vip.lqcc.xyz:35455/mgtv/838109047.m3u8
南京教科频道,http://vip.lqcc.xyz:35455/mgtv/838153729.m3u8
南京十八频道,http://vip.lqcc.xyz:35455/mgtv/838151753.m3u8
体育休闲频道,http://vip.lqcc.xyz:35455/mgtv/626064707.m3u8
江苏城市频道,http://vip.lqcc.xyz:35455/mgtv/626064714.m3u8
江苏国际,http://vip.lqcc.xyz:35455/mgtv/626064674.m3u8
江苏教育,http://vip.lqcc.xyz:35455/mgtv/628008321.m3u8
江苏影视频道,http://vip.lqcc.xyz:35455/mgtv/626064697.m3u8
江苏综艺频道,http://vip.lqcc.xyz:35455/mgtv/626065193.m3u8
公共新闻频道,http://vip.lqcc.xyz:35455/mgtv/626064693.m3u8
淮安新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731826.m3u8
泰州新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731818.m3u8
连云港新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731715.m3u8
宿迁新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731832.m3u8
徐州新闻综合,http://vip.lqcc.xyz:35455/mgtv/639731747.m3u8
华语乐坛最强音,http://vip.lqcc.xyz:35455/mgtv/707671890.m3u8
周杰伦现场,http://vip.lqcc.xyz:35455/mgtv/625133682.m3u8
最强综艺趴,http://vip.lqcc.xyz:35455/mgtv/629942228.m3u8
嘉佳卡通,http://vip.lqcc.xyz:35455/mgtv/614952364.m3u8
经典动画大集合,http://vip.lqcc.xyz:35455/mgtv/629942219.m3u8
新动力量创一流,http://vip.lqcc.xyz:35455/mgtv/713589837.m3u8
开封鼓楼,http://vip.lqcc.xyz:35455/mgtv/681448619.m3u8
钱塘江,http://vip.lqcc.xyz:35455/mgtv/647370520.m3u8
赛事最经典,http://vip.lqcc.xyz:35455/mgtv/646596895.m3u8
掼蛋精英赛,http://vip.lqcc.xyz:35455/mgtv/631354620.m3u8
体坛名栏汇,http://vip.lqcc.xyz:35455/mgtv/629943305.m3u8
咪咕24小时体育台,http://vip.lqcc.xyz:35455/mgtv/654102378.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
咪咕4K,http://vip.lqcc.xyz:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K.http://vip.lqcc.xyz:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
咪咕体育,http://vip.lqcc.xyz:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive

港台频道,#genre#

凤凰中文台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
中天新闻,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
寰宇新闻,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
无线新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
凤凰香港,http://xn--94q.xn--0p5a.top/0405smt.php?id=hkphoenix_twn
凤凰卫视,http://xn--94q.xn--0p5a.top/0405smt.php?id=phoenixtv_hd
凤凰资讯,http://xn--94q.xn--0p5a.top/0405smt.php?id=phoenixinfo_hd
翡翠台,http://xn--94q.xn--0p5a.top/0405smt.php?id=jade_twn
翡翠台,http://xn--94q.xn--0p5a.top/0405smt.php?id=Jade_xue
TVBSNEWS新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=tvbs_n
TVBS欢乐台（备份）,http://xn--94q.xn--0p5a.top/0405smt.php?id=tvbshuanle_twn
TVBS,http://xn--94q.xn--0p5a.top/0405smt.php?id=tvbs
中天新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctinews
中天娱乐,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctient
中天综和,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctizhonghe
中天亚洲台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctiasia_twn
台视TTV,http://xn--94q.xn--0p5a.top/0405smt.php?id=ttv_taiwan
台视新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ttvnews_twn
台视综合台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ttvzhonghe
中视,http://xn--94q.xn--0p5a.top/0405smt.php?id=zhongshihd_twn
中视新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=zhongshinews_twn
民视,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvhd_taiwan
民视新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvnew_taiwan
民视台湾台,http://xn--94q.xn--0p5a.top/0405smt.php?id=ftvtaiwan_twn
华视CTS,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctshd_twn
公视CTV,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctv18_twn
八大第一,http://xn--94q.xn--0p5a.top/0405smt.php?id=badafirst
八大综合,http://xn--94q.xn--0p5a.top/0405smt.php?id=badazhonghe
八大戏剧,http://xn--94q.xn--0p5a.top/0405smt.php?id=badadrama
八大娱乐,http://xn--94q.xn--0p5a.top/0405smt.php?id=badaentertain
HBO,http://xn--94q.xn--0p5a.top/0405smt.php?id=hbohd_twn
HBO_HITS,http://xn--94q.xn--0p5a.top/0405smt.php?id=hbohit_twn
三立台湾,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlitaiwan
三立戏剧台,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlixiju_twn
三立综合,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlizhonghe
三立都会台,http://xn--94q.xn--0p5a.top/0405smt.php?id=sanlidouhui
东森新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvnews
CINEMAX,http://xn--94q.xn--0p5a.top/0405smt.php?id=cinemax_twn
东森综合,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvzhonghe
东森戏剧,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvdrama
东森超视,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvsuper
东森财经新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvcaijing_twn
公视2,http://xn--94q.xn--0p5a.top/0405smt.php?id=ctv2_twn
大爱1台,http://xn--94q.xn--0p5a.top/0405smt.php?id=daai_twn
非凡新闻台,http://xn--94q.xn--0p5a.top/0405smt.php?id=feifannews_twn
靖天国际台,http://xn--94q.xn--0p5a.top/0405smt.php?id=jingtianintl_twn
年代新闻,http://xn--94q.xn--0p5a.top/0405smt.php?id=niandainews_twn
纬来日本台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandjapan
纬来电影台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandmovie
纬来体育台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandsport
纬来综合台,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandzonghe
纬来育乐,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandyule
纬来精彩,http://xn--94q.xn--0p5a.top/0405smt.php?id=videolandspecial_twn
好消息2,http://xn--94q.xn--0p5a.top/0405smt.php?id=good2_twn
大爱2台,http://xn--94q.xn--0p5a.top/0405smt.php?id=daai2_twn
亚洲美食,http://xn--94q.xn--0p5a.top/0405smt.php?id=afc_twn
亚洲旅游,http://xn--94q.xn--0p5a.top/0405smt.php?id=tlc_twn
东森电影,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvmovie
SKYSPORTSMAINEVENT,http://xn--94q.xn--0p5a.top/0405smt.php?id=tiankongmain
爱尔达体育2台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltasport2_twn
爱尔达体育3台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltasport3_twn
阿里郎,http://xn--94q.xn--0p5a.top/0405smt.php?id=arirang_twn
博斯运动1,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosisport1_twn
博斯运动2,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosisport2_twn
博斯高球2,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosigolf2_twn
博斯网球1,http://xn--94q.xn--0p5a.top/0405smt.php?id=bositennis_twn
东森洋片,http://xn--94q.xn--0p5a.top/0405smt.php?id=ettvwestern
博斯无限,http://xn--94q.xn--0p5a.top/0405smt.php?id=bosiunlimited_twn
MTVLIVE,http://xn--94q.xn--0p5a.top/0405smt.php?id=mtvhd_twn
靖天卡通台,http://xn--94q.xn--0p5a.top/0405smt.php?id=jingtiancartoon_twn
东森幼幼,http://xn--94q.xn--0p5a.top/0405smt.php?id=yoyo_twn
爱尔达影剧台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltayingju_twn
爱尔达综合台,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltazonghe_twn
爱尔达影剧,http://xn--94q.xn--0p5a.top/0405smt.php?id=eltayingju_twn
AFC亚洲旅游台,http://xn--94q.xn--0p5a.top/0405smt.php?id=asiatravel_twn
非凡武林.http://vip.lqcc.xyz:35455/huya/21674665
梁非凡吔X啦,http://vip.lqcc.xyz:35455/huya/23749083
梁非凡吃点啥,http://vip.lqcc.xyz:35455/huya/21059577
香港喜剧大全,http://vip.lqcc.xyz:35455/huya/23865080
非凡武林2,http://vip.lqcc.xyz:35455/huya/29982677
ITVB大后宫,http://vip.lqcc.xyz:35455/huya/23863804
香港刑侦实录,http://vip.lqcc.xyz:35455/huya/23865058
历史经典烩,http://vip.lqcc.xyz:35455/douyu/9487003
霹雳舞大叔,http://vip.lqcc.xyz:35455/douyu/1528853
高攀了这人间,http://vip.lqcc.xyz:35455/douyu/9651506
百态人间大赏,http://vip.lqcc.xyz:35455/douyu/8724904
易中天品三国,http://vip.lqcc.xyz:35455/yy/1354931498
火凤凰之战狼七,http://vip.lqcc.xyz:35455/yy/1463088777
香港院线大片最新,http://vip.lqcc.xyz:35455/yy/1354936242
TVB收视爆剧溏心风暴,http://vip.lqcc.xyz:35455/yy/1382736916
易中天品三国完整版,http://vip.lqcc.xyz:35455/yy/1461244449
1930年代经典电影,http://vip.lqcc.xyz:35455/yy/1356363815
山河同在山河情深的历史见证,http://vip.lqcc.xyz:35455/yy/1382736857
高分科幻电影开播,http://vip.lqcc.xyz:35455/yy/1382851586
国家宝藏：历史角色的N重人生,http://vip.lqcc.xyz:35455/yy/1382735573
先锋之那时青春热血年代,http://vip.lqcc.xyz:35455/yy/1382736833
TVB团圆,http://vip.lqcc.xyz:35455/yy/1382749944
反转人生命运交织,http://vip.lqcc.xyz:35455/yy/1382735556
辛亥历史变革的英雄传奇,http://vip.lqcc.xyz:35455/yy/1354926643


斗鱼轮播,#genre#
2025-06-10 16:19:26,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/time/time.mp4
4K60PSDR-H264-AAC测试,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/sdr4kvideo/index.m3u8
4K60PHLG-HEVC-EAC3测试,https://cdn.jsdelivr.net/gh/feiyangdigital/testvideo/hlg4kvideo/index.m3u8
 电视剧僵尸约会,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=8371123
 橙記Orange丶,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=4549169
 奇光主播,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=8009547
 烟雨抚风,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11649079
 龍組队长天昊,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=1487654
 精彩短剧看不停,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11824307
 丨灬释怀灬丨,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11391949
 嫒沵芯卟浍变,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11544610
 丨灬发财叔灬丨,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=9470198
 小毅主播q,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=6906628
 baby丶贝贝,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=431460
 伊太刀刀,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=747764
 奇光主播e,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11849873
 小毅主播e,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11851549
 灬梅子丶,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11645048
 蓝翔新三国,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=5908256
 bbox达人,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=428402
 蓝翔老三国,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=7459925
 怡宝妹妹丶,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=434971
 青丝染霜华丶,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=11656555
 有一辆立标奔驰,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12442176
 新蓝翔旧三国,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12463728
 我们可爱的程程,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=329667
 山止月,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12538016
 当燕双鹰遇见李元芳,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=3439096
 久了旧知,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=310926
 LR1245,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12534632
 菠萝屋SpongeBob,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12400977
 Poison丶冰冰,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=74374
 卖女孩滴小姑凉,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=922564
 刘少丶7012,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=131977
 王二麻子与隔壁老王,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12562123
 当幽兰剑遇上链子刀,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=6027991
 奇光动漫剧场,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12560807
 音乐壁纸合集,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12559170
 牛叔说电影,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=2758565
 当铁手团遇到光复社,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=5875025
 竹叶的熊猫,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=3870925
 粤语电影丶,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=1226741
 师落,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=6911044
 晓晓666666,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=426517
 白了个痴,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=319576
 永远快乐的小美女,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=6091425
 懒猫是只喵,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=260322
 追梦凌宝,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=1377142
 智仗心,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=5635000
 刘松毅,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12128227
 Only丶邵氏,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=4246519
 一起看港剧,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=5061550
 单纯的顺才少爷,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=10084875
 萌小鬼,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=3928
 新蓝翔新三国,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=12210085
 吃奶滴虫,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=263824
 苹果Zei妖,http://iptv.jxpan.vip:18888/ysp/douyu.php?id=2793084
