日本(18+),#genre#
松視1台,https://2.ddyunbo.com/20190914/dSIYelxz/index.m3u8
驚艷成人電影台,https://2.ddyunbo.com/20190914/TFWmOomT/index.m3u8
彩虹e台,https://2.ddyunbo.com/20190914/vL0TDJOa/index.m3u8
JStar極限台,https://2.ddyunbo.com/20190918/7mkn1AhN/index.m3u8
前後反差淫亂露臉騷婊,https://2.ddyunbo.com/20190923/WebyDiop/index.m3u8
主播福利,https://2.ddyunbo.com/20191003/iRZV03AE/index.m3u8
HAPPY,https://2.ddyunbo.com/20191003/EuwbmURX/index.m3u8
松視2台,https://2.ddyunbo.com/20191004/HjrnnnDD/index.m3u8
二本道歐美版,https://2.ddyunbo.com/20191004/GKWK7Q5F/index.m3u8
香蕉台歐美版,https://2.ddyunbo.com/20191004/3T6aTxbN/index.m3u8
限制級電影,https://2.ddyunbo.com/20191004/FxbqgEFY/index.m3u8
俄羅斯成人5台,https://2.ddyunbo.com/20191004/rURK4pfY/index.m3u8
俄羅斯成人4台,https://2.ddyunbo.com/20191007/7G1CWNc8/index.m3u8
俄羅斯成人3台,https://2.ddyunbo.com/20191007/IFlq5eON/index.m3u8
俄羅斯成人2台,https://2.ddyunbo.com/20191007/qISqWik0/index.m3u8

家新专用,#genre#
carib-002,https://fc.maa1808.com/c/fpsvmyqlej/fpsvmyqlej.m3u8
carib-004,https://fc.maa1808.com/f/xuyanbincr/xuyanbincr.m3u8
carib-146,https://fc.maa1808.com/c/nofftnyelj/nofftnyelj.m3u8
carib-182,https://fc.maa1808.com/f/tveemkomvr/tveemkomvr.m3u8
carib-206,https://fc.maa1808.com/d/oduhcvyunk/oduhcvyunk.m3u8
carib-239,https://fc.maa1808.com/n/uvbinnjany/uvbinnjany.m3u8
carib-288,https://fc.maa1808.com/m/jtzgqcaxvw/jtzgqcaxvw.m3u8
carib-311,https://fc.maa1808.com/h/kmqtdxwjmz/kmqtdxwjmz.m3u8
carib-337,https://fc.maa1808.com/d/uuvombzvvi/uuvombzvvi.m3u8
carib-339,https://fc.maa1808.com/d/pqkdrfftpw/pqkdrfftpw.m3u8
carib-363,https://fc.maa1808.com/b/ravxbmkthk/ravxbmkthk.m3u8
carib-375,https://fc.maa1808.com/f/lpeelnsfwx/lpeelnsfwx.m3u8
carib-375,https://fc.maa1808.com/n/qwpcalfmpo/qwpcalfmpo.m3u8
carib-420,https://fc.maa1808.com/d/qzwkkcltyl/qzwkkcltyl.m3u8
carib-431,https://fc.maa1808.com/d/jestvkpubl/jestvkpubl.m3u8
carib-433,https://fc.maa1808.com/g/vphfeljbji/vphfeljbji.m3u8
carib-449,https://fc.maa1808.com/b/txaohlcqnn/txaohlcqnn.m3u8
carib-457,https://fc.maa1808.com/h/unxtgmrxzw/unxtgmrxzw.m3u8
carib-474,https://fc.maa1808.com/h/oqmoimljpr/oqmoimljpr.m3u8
carib-477,https://fc.maa1808.com/c/avmrmbmugl/avmrmbmugl.m3u8
carib-478,https://fc.maa1808.com/d/lhnviuaoqi/lhnviuaoqi.m3u8
carib-495,https://fc.maa1808.com/g/xvbqwmnpqm/xvbqwmnpqm.m3u8
carib-531,https://fc.maa1808.com/n/cekgvsrnrr/cekgvsrnrr.m3u8
carib-533,https://fc.maa1808.com/f/dkpfeyqgrj/dkpfeyqgrj.m3u8
carib-541,https://fc.maa1808.com/c/rhmiiydppe/rhmiiydppe.m3u8
carib-563,https://fc.maa1808.com/f/pwkupqugdm/pwkupqugdm.m3u8
carib-563,https://fc.maa1808.com/d/qscypinana/qscypinana.m3u8
carib-589,https://fc.maa1808.com/n/okjmiigqsr/okjmiigqsr.m3u8
carib-639,https://fc.maa1808.com/n/rpsqccbbug/rpsqccbbug.m3u8
carib-665,https://fc.maa1808.com/c/mrpmoinlmj/mrpmoinlmj.m3u8
carib-665,https://fc.maa1808.com/g/oplnohpsmh/oplnohpsmh.m3u8
carib-674,https://fc.maa1808.com/g/jtlmkjipqv/jtlmkjipqv.m3u8
carib-675,https://fc.maa1808.com/c/qmlpmophlh/qmlpmophlh.m3u8
carib-710,https://fc.maa1808.com/h/mesmnroogk/mesmnroogk.m3u8
carib-717,https://fc.maa1808.com/f/ssoskhqgml/ssoskhqgml.m3u8
carib-744,https://fc.maa1808.com/c/kmiorrpitk/kmiorrpitk.m3u8
carib-758,https://fc.maa1808.com/c/rnpmkvqfrr/rnpmkvqfrr.m3u8
heyzo-0705,https://fc.maa1808.com/e/hacddcsdtd/hacddcsdtd.m3u8
heyzo-1199,https://fc.maa1808.com/d/bysmgbtdit/bysmgbtdit.m3u8
heyzo-1243,https://fc.maa1808.com/c/iqwejgyxjo/iqwejgyxjo.m3u8
heyzo-1262,https://fc.maa1808.com/d/fhctzryess/fhctzryess.m3u8
heyzo-1275,https://fc.maa1808.com/m/yifrmmuwzg/yifrmmuwzg.m3u8
heyzo-1395,https://fc.maa1808.com/n/navpsngdew/navpsngdew.m3u8
heyzo-1478,https://fc.maa1808.com/c/tbpdlnyuix/tbpdlnyuix.m3u8
heyzo-1544,https://fc.maa1808.com/h/xfjsphiogs/xfjsphiogs.m3u8
heyzo-1570,https://fc.maa1808.com/b/xisxqtvjhu/xisxqtvjhu.m3u8
heyzo-1590,https://fc.maa1808.com/m/qyqycucecx/qyqycucecx.m3u8
heyzo-1601,https://fc.maa1808.com/d/mdsjynuabc/mdsjynuabc.m3u8
heyzo-1638,https://fc.maa1808.com/n/hvxlbaoohy/hvxlbaoohy.m3u8
heyzo-1691,https://fc.maa1808.com/d/gxoiwurbtv/gxoiwurbtv.m3u8
heyzo-1722,https://fc.maa1808.com/f/xbztwfweja/xbztwfweja.m3u8
heyzo-1786,https://fc.maa1808.com/b/ehazmnswdt/ehazmnswdt.m3u8
pondo-273,https://fc.maa1808.com/g/pzvktykubw/pzvktykubw.m3u8
pondo-311,https://fc.maa1808.com/c/vkitdntxfe/vkitdntxfe.m3u8
pondo-350,https://fc.maa1808.com/h/fmrcohtytf/fmrcohtytf.m3u8
pondo-366,https://fc.maa1808.com/c/wgucctcnwb/wgucctcnwb.m3u8
pondo-419,https://fc.maa1808.com/b/ptytphcyus/ptytphcyus.m3u8
pondo-450,https://fc.maa1808.com/f/omlrqipols/omlrqipols.m3u8
pondo-488,https://fc.maa1808.com/g/ibktjjcjvi/ibktjjcjvi.m3u8
pondo-518,https://fc.maa1808.com/h/uglvzhiqwb/uglvzhiqwb.m3u8
pondo-559,https://fc.maa1808.com/h/ibogkqnaah/ibogkqnaah.m3u8
pondo-597,https://fc.maa1808.com/n/iqphtushdl/iqphtushdl.m3u8
pondo-613,https://fc.maa1808.com/e/vwiedbxdkp/vwiedbxdkp.m3u8
pondo-618,https://fc.maa1808.com/c/dyostrmwue/dyostrmwue.m3u8
pondo-764,https://fc.maa1808.com/g/rgihjwnolt/rgihjwnolt.m3u8
pondo-793,https://fc.maa1808.com/f/kpprkumlkh/kpprkumlkh.m3u8

女优代表作,#genre#
水谷心音BEST2,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-053017_437/index.m3u8
縦型動画012～SSR虎の子の潮吹～上原亜衣,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-053117_001/index.m3u8
恍惚～生島涼,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-060217_438/index.m3u8
放課後～希咲良,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-060317_439/index.m3u8
巨乳浴衣娘折原ほのか,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-060617_440/index.m3u8
THE未公開双葉みお,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-060717_001/index.m3u8
咲乃柑菜,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-060917_441/index.m3u8
視界侵入～村上涼子,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-061017_442/index.m3u8
極上泡姫物語Vol.52真咲アイラ,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-061317_443/index.m3u8
未公開～大失禁～希咲良,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-061417_444/index.m3u8
嫌の女顔射水島にな,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-061617_445/index.m3u8
卑猥星咲優菜,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-061717_446/index.m3u8
潮吹～白石真琴,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-062117_448/index.m3u8
～神田るな,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-062317_449/index.m3u8
緊縛研究所～双葉みお,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-062417_450/index.m3u8
男按摩,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-062617_451/index.m3u8
羽田真里BEST,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-062917_452/index.m3u8
生島涼,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-063017_453/index.m3u8
木村美羽,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-070117_454/index.m3u8
熟女の放尿娘～北島玲美涼りな,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-070517_456/index.m3u8
視界侵入！挿入～北川レイラ,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-070717_457/index.m3u8
真琴りょう,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-070817_458/index.m3u8
女熱大陸File.056米倉のあ,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071117_459/index.m3u8
我慢大会～七瀬リナ,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071217_460/index.m3u8
縦型動画013～画面の尻穴陰毛～梢あをな,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_001/index.m3u8
顔面騎乗位～観月奏,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_003/index.m3u8
下品～北島玲,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_004/index.m3u8
縦型動画017～小悪魔～美月るな,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_005/index.m3u8
経験の女性～上条藍,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_007/index.m3u8
謎の熟女祥子～高嶋祥子,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_008/index.m3u8
講師～生島涼,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_009/index.m3u8
顔面騎乗位～咲乃柑菜,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071317_010/index.m3u8
女仆希咲良,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071517_462/index.m3u8
二輪車冴君麻衣子上原まさき,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-071817_463/index.m3u8
下全裸、星咲優菜,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-072517_467/index.m3u8
未公開～原ちとせ碧木凛桃井りの羽多野しずく,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-072617_468/index.m3u8
黒木澪,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-072917_470/index.m3u8
魅惑枢木みかん,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-080117_471/index.m3u8
葵千恵千野くるみ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-080417_473/index.m3u8
極上泡姫物語Vol.53生島涼,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-080817_475/index.m3u8
卑猥水着講座～並木あゆ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081017_002/index.m3u8
君島アンナ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081017_003/index.m3u8
碧しの,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081017_005/index.m3u8
希咲あや蒼井さくら真琴りょう,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081017_006/index.m3u8
超高速生騎乗位～立花瑠莉,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081117_477/index.m3u8
僕の彼女北川レイラ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081217_478/index.m3u8
温泉旅行逢沢はるか美月優芽,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081517_479/index.m3u8
放尿～黒木澪,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081617_480/index.m3u8
中出3連発水島にな,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-081917_483/index.m3u8
僕の彼女白石真琴,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-082217_484/index.m3u8
THE未公開～生島涼,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-082317_485/index.m3u8
米倉のあ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-082517_486/index.m3u8
恍猛烈交尾～如月ジュリ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-082917_488/index.m3u8
早抜咲乃柑菜BEST,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-083017_489/index.m3u8
木村美羽の家撮影木村美羽,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-083117_490/index.m3u8
令嬢召使渋谷ひとみ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-090117_491/index.m3u8
北山かんな,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancom-090217_492/index.m3u8
上原亜衣江波りゅう朝桐光希咲エマ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-033117_001/index.m3u8
月刊美咲結衣,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-060217_001/index.m3u8
月刊大橋ひとみ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-060917_002/index.m3u8
SModel172丘咲エミリ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-062317_001/index.m3u8
THE処女　大人の階段の生娘,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-062417_001/index.m3u8
奴隷妻中島京子,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-062717_002/index.m3u8
EBUT華城まや,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-063017_001/index.m3u8
水着白石真琴,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-070717_001/index.m3u8
THE巨乳Ⅲ～北山かんな初音ろりあ篠田あゆみ小向美奈子,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-070817_001/index.m3u8
巨乳自慢の彼女ゆうき美羽,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-071417_001/index.m3u8
KIRARI138桃井りの,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-072117_001/index.m3u8
THE潮吹洪水～加藤えま越川アメリ一条リオン千野くるみ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-072217_002/index.m3u8
DIRTYSCHOOLGIRLS01完全版,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-072617_003/index.m3u8
制服JK性交さくらみゆき,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-072817_001/index.m3u8
絶対24時七瀬リナ,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-080417_001/index.m3u8
図鑑村上佳苗,http://videocdn.quweikm.com:8091/20180930/hd_caribbeancompr-081017_002/index.m3u8



一本道AV,#genre#
一本道,http://video1.rhsj520.com:8091/nyrm3/20180105/3/050313-328/1500kb/hls/index.m3u8
一本道720P21,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/111615_191-1pon/index.m3u8
一本道720P22,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/111415_190-1pon/index.m3u8
一本道720P23,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/111215_188-1pon/index.m3u8
一本道720P24,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/110715_186-1pon/index.m3u8
一本道720P25,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/110515_184-1pon/index.m3u8
一本道720P26,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/103115_181-1pon/index.m3u8
一本道720P28,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/102215_184-1pon/index.m3u8
一本道720P29,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/102115_175-1pon/index.m3u8
一本道720P30,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/102115_001-1pon/index.m3u8
一本道720P31,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/102015_174-1pon/index.m3u8
一本道720P32,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/101015_169-1pon/index.m3u8
一本道720P33,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/100715_167-1pon/index.m3u8
一本道720P34,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/100615_166-1pon/index.m3u8
一本道720P35,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/100115_163-1pon/index.m3u8
一本道720P36,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/092615_161-1pon/index.m3u8
一本道720P37,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/092515_160-1pon/index.m3u8
一本道720P38,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/091915_156-1pon/index.m3u8
一本道720P39,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/091815_155-1pon/index.m3u8
一本道720P40,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/091715_154-1pon/index.m3u8
一本道720P41,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/091115_151-1pon/index.m3u8
一本道720P42,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/091015_150-1pon/index.m3u8
一本道720P43,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/090815_149-1pon/index.m3u8
一本道720P44,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-121015_001/index.m3u8
一本道720P45,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-120815_203/index.m3u8
一本道720P46,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-120515_202/index.m3u8
一本道720P47,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-120415_201/index.m3u8
一本道720P48,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-120315_200/index.m3u8
一本道720P49,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-112815_198/index.m3u8
一本道720P50,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/4/1pon-112715_197/index.m3u8
一本道720P50部,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/5/101315_170-1pon/index.m3u8



【东热AV】,#genre#
东热720P04,https://video1.rhsj520.com/nyrm3/2011225/DR/n0011/index.m3u8
东热720P05,https://video1.rhsj520.com/nyrm3/2011225/DR/n0010/index.m3u8
东热720P06,https://video1.rhsj520.com/nyrm3/2011225/DR/n0008/index.m3u8
东热720P07,https://video1.rhsj520.com/nyrm3/2011225/DR/n0001/index.m3u8
东热720P08,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/djr/n0817/index.m3u8
东热720P09,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181125/3/djr/n0476/index.m3u8
东热720P11,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0458/index.m3u8
东热720P12,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0457/index.m3u8
东热720P13,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0456/index.m3u8
东热720P14,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0455/index.m3u8
东热720P15,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0453/index.m3u8
东热720P16,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0451/index.m3u8
东热720P18,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0450/index.m3u8
东热720P19,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0449/index.m3u8
东热720P20,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0448/index.m3u8
东热720P21,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0447/index.m3u8
东热720P22,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0446/index.m3u8
东热720P23,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0445/index.m3u8
东热720P24,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0444/index.m3u8
东热720P25,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0443/index.m3u8
东热720P26,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0442/index.m3u8
东热720P27,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0441/index.m3u8
东热720P28,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0440/index.m3u8
东热720P29,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0439/index.m3u8
东热720P30,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0438/index.m3u8
东热720P31,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0437/index.m3u8
东热720P32部,https://videocdnbaidu.rhsj520.com/2/rnmy2/20181123/6/n0436/index.m3u8



丝袜资源网【中文字幕】,#genre#
HEYZO-2559,https://siwazywcdn2.com:5278//yazhouwuma/tHC3xmBl/index.m3u8
320MMGH-268,https://siwazywcdn2.com:5278//zhongwenzimu/5Q38tP7r/index.m3u8
345SIMM-356,https://siwazywcdn2.com:5278/zhongwenzimu/TILSwgYM/index.m3u8
345SIMM-375,https://siwazywcdn2.com:5278/zhongwenzimu/OHQ7sCEu/index.m3u8
AARM-030,https://siwazywcdn2.com:5278/zhongwenzimu/41MuDzlS/index.m3u8
AARM-032,https://siwazywcdn2.com:5278/zhongwenzimu/Wb9V5uBT/index.m3u8
ABP-909,https://siwazywcdn2.com:5278/zhongwenzimu/4Z8xzTju/index.m3u8
ABP-927,https://siwazywcdn2.com:5278/zhongwenzimu/KxTDGpWr/index.m3u8
ABP-954,https://siwazywcdn2.com:5278//zhongwenzimu/vleUCRbo/index.m3u8
ABP-976,https://siwazywcdn2.com:5278/zhongwenzimu/mthzqFwO/index.m3u8
ABP-978,https://siwazywcdn2.com:5278/zhongwenzimu/9oyQL6uO/index.m3u8
ABW-162,https://siwazywcdn2.com:5278/zhongwenzimu/LF3DB6EZ/index.m3u8
ABW-170,https://siwazywcdn2.com:5278/zhongwenzimu/9L6OW5oU/index.m3u8
ABW-175,https://siwazywcdn2.com:5278/zhongwenzimu/aCK6u9GA/index.m3u8
ADN-017,https://siwazywcdn2.com:5278//zhongwenzimu/71AKDJUw/index.m3u8
ADN-210,https://siwazywcdn2.com:5278//zhongwenzimu/ujixV9yD/index.m3u8
ADN-227,https://siwazywcdn2.com:5278//zhongwenzimu/HBmeIa6V/index.m3u8
ADN-232,https://siwazywcdn2.com:5278/zhongwenzimu/clxZj43V/index.m3u8
ADN-245,https://siwazywcdn2.com:5278//zhongwenzimu/lQGv2ayT/index.m3u8
ADN-247,https://siwazywcdn2.com:5278/zhongwenzimu/jpsBa63J/index.m3u8
ADN-276,https://siwazywcdn2.com:5278/zhongwenzimu/j3Omcu2S/index.m3u8
ADN-291,https://siwazywcdn2.com:5278//zhongwenzimu/KnjeVorl/index.m3u8
ADN-344,https://siwazywcdn2.com:5278/zhongwenzimu/WbftBvOH/index.m3u8
AMA-052,https://siwazywcdn2.com:5278/zhongwenzimu/bnwPKMUu/index.m3u8
AMA-053,https://siwazywcdn2.com:5278/zhongwenzimu/ZuRaNsHU/index.m3u8
AMBI-141,https://siwazywcdn2.com:5278/zhongwenzimu/kQiHtdjE/index.m3u8
AMBI-143,https://siwazywcdn2.com:5278/zhongwenzimu/nlDNk3fQ/index.m3u8
APNS-191,https://siwazywcdn2.com:5278/zhongwenzimu/rupT1Y9Z/index.m3u8
AQSH-057,https://siwazywcdn2.com:5278/zhongwenzimu/p6QtM3f0/index.m3u8
ATID-375,https://siwazywcdn2.com:5278/zhongwenzimu/1RnHc5AW/index.m3u8
ATID-376,https://siwazywcdn2.com:5278/zhongwenzimu/DZJWx3ac/index.m3u8
ATID-387,https://siwazywcdn2.com:5278/zhongwenzimu/qwTd5tjx/index.m3u8
ATID-424,https://siwazywcdn2.com:5278/zhongwenzimu/T2bKirEl/index.m3u8
ATID-449,https://siwazywcdn2.com:5278/zhongwenzimu/nBAk2I1L/index.m3u8
ATID-478,https://siwazywcdn2.com:5278/zhongwenzimu/0tb6D19A/index.m3u8
BBAN-259,https://siwazywcdn2.com:5278/zhongwenzimu/WweDhn3R/index.m3u8
BBTU-020,https://siwazywcdn2.com:5278/zhongwenzimu/B12mkq6M/index.m3u8
BDA-117,https://siwazywcdn2.com:5278/zhongwenzimu/I4xEYSMv/index.m3u8
BDA-119,https://siwazywcdn2.com:5278/zhongwenzimu/caypNh6V/index.m3u8
